onset	duration	trial_type
21.1658333333333	0	5
23.1758333333333	0	25
24.225	0	121
24.5416666666667	0	109
28.1341666666667	0	121
30.4425	0	109
32.585	0	121
33.1016666666667	0	109
34.71	0	121
35.41	0	109
38.1883333333333	0	5
40.1858333333333	0	25
41.4191666666667	0	109
41.8608333333333	0	121
43.6691666666667	0	109
44.1025	0	121
46.22	0	109
46.2533333333333	0	121
48.67	0	109
48.8616666666667	0	121
52.3208333333333	0	109
55.1891666666667	0	7
57.1875	0	27
58.4791666666667	0	113
58.5208333333333	0	117
62.0716666666667	0	113
64.0883333333333	0	117
64.13	0	113
66.8891666666667	0	117
67.1475	0	113
69.4891666666667	0	117
69.6141666666667	0	113
72.1916666666667	0	7
74.19	0	27
75.5316666666667	0	113
76.2066666666667	0	117
78.4658333333333	0	113
78.7408333333333	0	117
80.8241666666667	0	113
81.5075	0	117
83.0075	0	113
83.85	0	117
86.3166666666667	0	113
89.1958333333333	0	1
91.2	0	21
92.4091666666667	0	101
93.5591666666667	0	129
95.3258333333333	0	101
96.1258333333333	0	129
98.5266666666667	0	101
100.551666666667	0	129
101.051666666667	0	101
103.4775	0	129
103.594166666667	0	101
106.204166666667	0	4
108.2025	0	24
109.4275	0	106
109.485833333333	0	126
112.336666666667	0	106
114.953333333333	0	126
117.2875	0	106
117.8625	0	126
119.654166666667	0	106
120.020833333333	0	126
123.215833333333	0	3
125.213333333333	0	23
126.671666666667	0	105
126.78	0	125
129.505833333333	0	105
129.864166666667	0	125
131.5975	0	105
132.430833333333	0	125
133.855833333333	0	105
134.489166666667	0	125
136.915	0	105
140.216666666667	0	4
142.215833333333	0	24
143.765833333333	0	106
144.2325	0	126
146.824166666667	0	106
149.6	0	126
151.925	0	106
154.075	0	126
154.650833333333	0	106
157.219166666667	0	1
159.2175	0	21
161.143333333333	0	101
161.268333333333	0	129
163.851666666667	0	101
164.151666666667	0	129
166.5525	0	101
169.169166666667	0	129
171.3525	0	101
171.7025	0	129
174.231666666667	0	7
176.236666666667	0	27
177.995	0	117
178.653333333333	0	113
180.3125	0	117
180.904166666667	0	113
182.7375	0	117
183.445833333333	0	113
185.129166666667	0	117
185.745833333333	0	113
188.38	0	117
191.24	0	2
193.239166666667	0	22
194.455833333333	0	102
194.5475	0	130
197.389166666667	0	102
199.698333333333	0	130
199.84	0	102
202.49	0	130
202.615	0	102
204.923333333333	0	130
205.5075	0	102
208.2425	0	8
210.241666666667	0	28
211.966666666667	0	114
212.45	0	118
214.708333333333	0	114
217.35	0	118
219.9425	0	114
220.050833333333	0	118
221.9675	0	114
222.5925	0	118
225.245833333333	0	2
227.251666666667	0	22
228.335	0	102
228.426666666667	0	130
233.3525	0	102
233.7275	0	130
236.469166666667	0	102
237.185833333333	0	130
239.253333333333	0	102
239.728333333333	0	130
242.255833333333	0	3
244.253333333333	0	23
245.8625	0	125
246.170833333333	0	105
248.379166666667	0	125
248.445833333333	0	105
251.063333333333	0	125
251.596666666667	0	105
253.863333333333	0	125
256.214166666667	0	105
259.266666666667	0	1
261.264166666667	0	21
262.964166666667	0	101
263.055833333333	0	129
265.656666666667	0	101
267.798333333333	0	129
270.765833333333	0	101
273.265833333333	0	129
276.2675	0	5
278.266666666667	0	25
280.233333333333	0	109
280.425	0	121
282.809166666667	0	109
283.059166666667	0	121
284.934166666667	0	109
285.6175	0	121
287.809166666667	0	109
287.8925	0	121
289.843333333333	0	109
290.351666666667	0	121
293.270833333333	0	4
295.268333333333	0	24
296.8275	0	106
297.110833333333	0	126
299.769166666667	0	106
300.094166666667	0	126
302.261666666667	0	106
302.361666666667	0	126
304.653333333333	0	106
304.861666666667	0	126
307.711666666667	0	106
310.273333333333	0	3
312.270833333333	0	23
313.9875	0	125
314.479166666667	0	105
316.921666666667	0	125
318.863333333333	0	105
319.296666666667	0	125
321.155833333333	0	105
322.230833333333	0	125
323.630833333333	0	105
324.505833333333	0	125
327.273333333333	0	1
329.273333333333	0	21
331.048333333333	0	129
331.456666666667	0	101
333.365833333333	0	129
333.681666666667	0	101
336.6075	0	129
338.399166666667	0	101
339.115833333333	0	129
341.466666666667	0	101
341.541666666667	0	129
344.276666666667	0	4
346.275	0	24
348.284166666667	0	106
348.300833333333	0	126
350.775833333333	0	106
350.9425	0	126
353.076666666667	0	106
353.668333333333	0	126
356.226666666667	0	106
358.16	0	126
358.501666666667	0	106
371.031666666667	0	8
373.029166666667	0	28
374.6975	0	118
375.220833333333	0	114
376.920833333333	0	118
377.7875	0	114
379.638333333333	0	118
380.038333333333	0	114
381.746666666667	0	118
382.655	0	114
384.571666666667	0	118
385.455	0	114
388.030833333333	0	3
390.030833333333	0	23
391.555833333333	0	125
391.730833333333	0	105
393.656666666667	0	125
394.231666666667	0	105
396.373333333333	0	125
397.34	0	105
399.1575	0	125
399.624166666667	0	105
402.324166666667	0	125
402.515833333333	0	105
405.0525	0	8
407.058333333333	0	28
409.116666666667	0	118
409.3	0	114
411.5925	0	118
411.9175	0	114
413.875833333333	0	118
414.384166666667	0	114
416.7675	0	118
419.335	0	114
422.060833333333	0	8
424.06	0	28
425.110833333333	0	114
425.669166666667	0	118
427.7025	0	114
427.9525	0	118
430.461666666667	0	114
430.911666666667	0	118
432.995	0	114
436.203333333333	0	118
436.3625	0	114
439.064166666667	0	5
441.0625	0	25
442.095833333333	0	109
442.5375	0	121
444.621666666667	0	109
445.163333333333	0	121
447.413333333333	0	109
450.255833333333	0	121
453.405833333333	0	109
456.0675	0	5
458.065	0	25
459.831666666667	0	109
460.04	0	121
462.890833333333	0	109
464.4325	0	121
465.1575	0	109
466.8825	0	121
467.949166666667	0	109
469.525	0	121
470.458333333333	0	109
473.068333333333	0	7
475.066666666667	0	27
477.059166666667	0	117
477.225833333333	0	113
480.0175	0	117
482.226666666667	0	113
482.301666666667	0	117
484.851666666667	0	113
486.885	0	117
486.968333333333	0	113
490.071666666667	0	7
492.069166666667	0	27
493.319166666667	0	113
493.669166666667	0	117
496.02	0	113
496.986666666667	0	117
499.22	0	113
501.3625	0	117
501.979166666667	0	113
504.079166666667	0	117
504.479166666667	0	113
507.073333333333	0	1
509.071666666667	0	21
510.546666666667	0	129
510.905	0	101
514.005833333333	0	129
514.030833333333	0	101
516.364166666667	0	129
518.930833333333	0	101
520.923333333333	0	129
521.173333333333	0	101
524.075	0	6
526.073333333333	0	26
527.7825	0	122
528.340833333333	0	110
530.224166666667	0	122
530.615833333333	0	110
532.641666666667	0	122
532.675	0	110
535.575	0	122
538.2	0	110
538.4	0	122
541.078333333333	0	7
543.084166666667	0	27
544.2175	0	117
545.0425	0	113
547.035	0	117
547.526666666667	0	113
549.835	0	117
550.501666666667	0	113
552.001666666667	0	117
552.719166666667	0	113
555.335833333333	0	117
555.4525	0	113
558.0875	0	7
560.086666666667	0	27
561.353333333333	0	117
561.811666666667	0	113
563.87	0	117
564.92	0	113
566.904166666667	0	117
567.2875	0	113
569.2375	0	117
570.0125	0	113
571.304166666667	0	117
572.021666666667	0	113
575.09	0	8
577.096666666667	0	28
578.214166666667	0	114
579.180833333333	0	118
581.130833333333	0	114
